County,State
''Bibb'',1
'' Blount'',1
'' Calhoun'',1
'' Chambers'',1
'' Cherokee'',1
'' Chilton'',1
'' Clay'',1
'' Cleburne'',1
'' Colbert'',1
'' Coosa'',1
'' Cullman'',1
'' De Kalb'',1
'' Elmore'',1
'' Etowah'',1
'' Fayette'',1
'' Franklin'',1
'' Hale'',1
'' Jackson'',1
'' Jefferson'',1
'' Lamar'',1
'' Lauderdale'',1
'' Lawrence'',1
'' Limestone'',1
'' Macon'',1
'' Madison'',1
'' Marion'',1
'' Marshall'',1
'' Morgan'',1
'' Pickens'',1
'' Randolph'',1
'' St. Clair'',1
'' Shelby'',1
'' Talladega'',1
'' Tallapoosa'',1
'' Tuscaloosa'',1
'' Walker'',1
'' Winston'',1
''Banks'',13
'' Barrow'',13
'' Bartow'',13
'' Carroll'',13
'' Catoosa'',13
'' Chattooga'',13
'' Cherokee'',13
'' Dade'',13
'' Dawson'',13
'' Douglas'',13
'' Elbert'',13
'' Fannin'',13
'' Floyd'',13
'' Forsyth'',13
'' Franklin'',13
'' Gilmer'',13
'' Gordon'',13
'' Gwinnett'',13
'' Habersham'',13
'' Hall'',13
'' Haralson'',13
'' Hart'',13
'' Heard'',13
'' Jackson'',13
'' Lumpkin'',13
'' Madison'',13
'' Murray'',13
'' Paulding'',13
'' Pickens'',13
'' Polk'',13
'' Rabun'',13
'' Stephens'',13
'' Towns'',13
'' Union'',13
'' Walker'',13
'' White'',13
'' Whitfield'',13
''Adair'',21
'' Bath'',21
'' Bell'',21
'' Boyd'',21
'' Breathitt'',21
'' Carter'',21
'' Casey'',21
'' Clark'',21
'' Clay'',21
'' Clinton'',21
'' Cumberland'',21
'' Edmonson'',21
'' Elliott'',21
'' Estill'',21
'' Fleming'',21
'' Floyd'',21
'' Garrard'',21
'' Green'',21
'' Greenup'',21
'' Harlan'',21
'' Hart'',21
'' Jackson'',21
'' Johnson'',21
'' Knott'',21
'' Knox'',21
'' Laurel'',21
'' Lawrence'',21
'' Lee'',21
'' Leslie'',21
'' Letcher'',21
'' Lewis'',21
'' Lincoln'',21
'' McCreary'',21
'' Madison'',21
'' Magoffin'',21
'' Martin'',21
'' Menifee'',21
'' Metcalfe'',21
'' Monroe'',21
'' Montgomery'',21
'' Morgan'',21
'' Nicholas'',21
'' Owsley'',21
'' Perry'',21
'' Pike'',21
'' Powell'',21
'' Pulaski'',21
'' Robertson'',21
'' Rockcastle'',21
'' Rowan'',21
'' Russell'',21
'' Wayne'',21
'' Whitley'',21
'' Wolfe'',21
''Allegany'',24
'' Garrett'',24
'' Washington'',24
''Alcorn'',28
'' Benton'',28
'' Calhoun'',28
'' Chickasaw'',28
'' Choctaw'',28
'' Clay'',28
'' Itawamba'',28
'' Kemper'',28
'' Lee'',28
'' Lowndes'',28
'' Marshall'',28
'' Monroe'',28
'' Montgomery'',28
'' Noxubee'',28
'' Oktibbeha'',28
'' Panola'',28
'' Pontotoc'',28
'' Prentiss'',28
'' Tippah'',28
'' Tishomingo'',28
'' Union'',28
'' Webster'',28
'' Winston'',28
'' Yalobusha'',28
''Alexander'',37
'' Alleghany'',37
'' Ashe'',37
'' Avery'',37
'' Buncombe'',37
'' Burke'',37
'' Caldwell'',37
'' Cherokee'',37
'' Clay'',37
'' Davie'',37
'' Forsyth'',37
'' Graham'',37
'' Haywood'',37
'' Henderson'',37
'' Jackson'',37
'' McDowell'',37
'' Macon'',37
'' Madison'',37
'' Mitchell'',37
'' Polk'',37
'' Rutherford'',37
'' Stokes'',37
'' Surry'',37
'' Swain'',37
'' Transylvania'',37
'' Watauga'',37
'' Wilkes'',37
'' Yadkin'',37
'' Yancey'',37
''Allegany'',36
'' Broome'',36
'' Cattaraugus'',36
'' Chautauqua'',36
'' Chemung'',36
'' Chenango'',36
'' Cortland'',36
'' Delaware'',36
'' Otsego'',36
'' Schoharie'',36
'' Schuyler'',36
'' Steuben'',36
'' Tioga'',36
'' Tompkins'',36
''Adams'',39
'' Ashtabula'',39
'' Athens'',39
'' Belmont'',39
'' Brown'',39
'' Carroll'',39
'' Clermont'',39
'' Columbiana'',39
'' Coshocton'',39
'' Gallia'',39
'' Guernsey'',39
'' Harrison'',39
'' Highland'',39
'' Hocking'',39
'' Holmes'',39
'' Jackson'',39
'' Jefferson'',39
'' Lawrence'',39
'' Mahoning'',39
'' Meigs'',39
'' Monroe'',39
'' Morgan'',39
'' Muskingum'',39
'' Noble'',39
'' Perry'',39
'' Pike'',39
'' Ross'',39
'' Scioto'',39
'' Trumbull'',39
'' Tuscarawas'',39
'' Vinton'',39
'' Washington'',39
''Allegheny'',42
'' Armstrong'',42
'' Beaver'',42
'' Bedford'',42
'' Blair'',42
'' Bradford'',42
'' Butler'',42
'' Cambria'',42
'' Cameron'',42
'' Carbon'',42
'' Centre'',42
'' Clarion'',42
'' Clearfield'',42
'' Clinton'',42
'' Columbia'',42
'' Crawford'',42
'' Elk'',42
'' Erie'',42
'' Fayette'',42
'' Forest'',42
'' Fulton'',42
'' Greene'',42
'' Huntingdon'',42
'' Indiana'',42
'' Jefferson'',42
'' Juniata'',42
'' Lackawanna'',42
'' Lawrence'',42
'' Luzerne'',42
'' Lycoming'',42
'' McKean'',42
'' Mercer'',42
'' Mifflin'',42
'' Monroe'',42
'' Montour'',42
'' Northumberland'',42
'' Perry'',42
'' Pike'',42
'' Potter'',42
'' Schuylkill'',42
'' Snyder'',42
'' Somerset'',42
'' Sullivan'',42
'' Susquehanna'',42
'' Tioga'',42
'' Union'',42
'' Venango'',42
'' Warren'',42
'' Washington'',42
'' Wayne'',42
'' Westmoreland'',42
'' Wyoming'',42
''Anderson'',45
'' Cherokee'',45
'' Greenville'',45
'' Oconee'',45
'' Pickens'',45
'' Spartanburg'',45
''Anderson'',47
'' Bledsoe'',47
'' Blount'',47
'' Bradley'',47
'' Campbell'',47
'' Cannon'',47
'' Carter'',47
'' Claiborne'',47
'' Clay'',47
'' Cocke'',47
'' Coffee'',47
'' Cumberland'',47
'' De Kalb'',47
'' Fentress'',47
'' Franklin'',47
'' Grainger'',47
'' Greene'',47
'' Grundy'',47
'' Hamblen'',47
'' Hamilton'',47
'' Hancock'',47
'' Hawkins'',47
'' Jackson'',47
'' Jefferson'',47
'' Johnson'',47
'' Knox'',47
'' Lawrence'',47
'' Lewis'',47
'' Loudon'',47
'' McMinn'',47
'' Macon'',47
'' Marion'',47
'' Meigs'',47
'' Monroe'',47
'' Morgan'',47
'' Overton'',47
'' Pickett'',47
'' Polk'',47
'' Putnam'',47
'' Rhea'',47
'' Roane'',47
'' Scott'',47
'' Sequatchie'',47
'' Sevier'',47
'' Smith'',47
'' Sullivan'',47
'' Unicoi'',47
'' Union'',47
'' Van Buren'',47
'' Warren'',47
'' Washington'',47
'' White'',47
''Alleghany'',51
'' Bath'',51
'' Bland'',51
'' Botetourt'',51
'' Buchanan'',51
'' Carroll'',51
'' Craig'',51
'' Dickenson'',51
'' Floyd'',51
'' Giles'',51
'' Grayson'',51
'' Henry'',51
'' Highland'',51
'' Lee'',51
'' Montgomery'',51
'' Patrick'',51
'' Pulaski'',51
'' Rockbridge'',51
'' Russell'',51
'' Scott'',51
'' Smyth'',51
'' Tazewell'',51
'' Washington'',51
'' Wise'',51
'' Wythe'',51
''Barbour'',54
'' Berkeley'',54
'' Boone'',54
'' Braxton'',54
'' Brooke'',54
'' Cabell'',54
'' Calhoun'',54
'' Clay'',54
'' Doddridge'',54
'' Fayette'',54
'' Gilmer'',54
'' Grant'',54
'' Greenbrier'',54
'' Hampshire'',54
'' Hancock'',54
'' Hardy'',54
'' Harrison'',54
'' Jackson'',54
'' Jefferson'',54
'' Kanawha'',54
'' Lewis'',54
'' Lincoln'',54
'' Logan'',54
'' Marion'',54
'' Marshall'',54
'' Mason'',54
'' McDowell'',54
'' Mercer'',54
'' Mineral'',54
'' Mingo'',54
'' Monongalia'',54
'' Monroe'',54
'' Morgan'',54
'' Nicholas'',54
'' Ohio'',54
'' Pendleton'',54
'' Pleasants'',54
'' Pocahontas'',54
'' Preston'',54
'' Putnam'',54
'' Raleigh'',54
'' Randolph'',54
'' Ritchie'',54
'' Roane'',54
'' Summers'',54
'' Taylor'',54
'' Tucker'',54
'' Tyler'',54
'' Upshur'',54
'' Wayne'',54
'' Webster'',54
'' Wetzel'',54
'' Wirt'',54
'' Wood'',54
'' Wyoming'',54